,Unnamed: 0,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions,Project_Description_keywords,Project_mention_tracing_yn
429,429,TPN-078849,RCP-039003,"Saginaw County, Michigan",Michigan,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,COVID Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Temporary public employee to document positive COVID cases and perform contact tracing within the workforce.,36346.0,3328.91,3328.91,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID, Temporary, cases, contact, document, employee, perform, positive, public, tracing, workforce",yes
430,430,TPN-191144,RCP-036013,"City Of Baltimore, Maryland",Maryland,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,COVID19 Health Response - Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"The Baltimore City Health Department (BCHD) will fund contact tracing services to prevent and control COVID-19 infection (or transmission) among populations at higher risk and that are underserved, including racial and ethnic minority groups and people living in rural communities. Performance measures include percent of contacts and cases reached.",5245000.0,3195893.13,2406155.62,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"BCHD, Baltimore, COVID-19, City, Department, Health, Performance, cases, communities, contact, contacts, control, ethnic, fund, groups, higher, include, including, infection, living, measures, minority, people, percent, populations, prevent, racial, reached, risk, rural, services, tracing, transmission, underserved",yes
431,431,TPN-010728,RCP-036013,"City Of Baltimore, Maryland",Maryland,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Cancelled,COVID19 Health Response - Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"The Baltimore City Health Department (BCHD) will fund contact tracing services to prevent and control COVID-19 infection (or transmission) among populations at higher risk and that are underserved, including racial and ethnic minority groups. Performance measures include percent of contacts and cases reached.",0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"BCHD, Baltimore, COVID-19, City, Department, Health, Performance, cases, contact, contacts, control, ethnic, fund, groups, higher, include, including, infection, measures, minority, percent, populations, prevent, racial, reached, risk, services, tracing, transmission, underserved",yes
432,432,TPN-004383,RCP-038647,"Deschutes County, Oregon",Oregon,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Health Services Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"This was funding for the Health Services Department, for additional temporary staff to complete contact tracing and case investigation in response to COVID-19.",,2364093.0,2339788.54,,,,,,,,No,,,1 Imp General Public,7 Imp Other HHs or populations that experienced a negative economic,,,,2024-06-30,,,,,"COVID-19, Department, Health, Services, additional, case, complete, contact, funding, investigation, response, staff, temporary, tracing",yes
433,433,TPN-235872,RCP-036087,State Of New Jersey,New Jersey,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed less than 50%,DRM Straight And Narrow - Catholic Charities,1-Public Health,1.3-COVID-19 Contact Tracing,STRAIGHT AND NARROW - CATHOLIC CHARITIES (DIOCESE OF PATERSON),2500000.0,2500000.0,625000.0,,,,,,,,Yes,"Affordable housing, supportive housing, or recovery housing",2500000.0,1 Imp General Public,,,,,2024-06-30,,,,,"CATHOLIC, CHARITIES, DIOCESE, NARROW, PATERSON, STRAIGHT",no
434,434,TPN-051813,RCP-053281,"City Of Gresham, Oregon",Oregon,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,COVID19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Program CWSARPACVD-CTR intends to identify COVID19 cases early and alert any employees who may have been infected to stop any outbreaks from occurring within Gresham's workforce. This ensures that Gresham employees are not spreading COVID19 to other coworkers or the general public.,334.38,334.38,334.38,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID19, CTR, CWSARPACVD, Gresham, Program, alert, cases, coworkers, employees, ensures, general, identify, infected, intends, occurring, outbreaks, public, spreading, stop, workforce",no
435,435,TPN-005232,RCP-036674,"Ponce Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,COVID Contact Tracing Center,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID Contact Tracing Center (the “Center) is a program design to mitigate and prevent the spread of the coronavirus in the Municipality of Ponce.  The program is operated in collaboration with non-profit organizations and includes a multi-disciplinary team integrated by different professionals.  The program consists of three core elements: contact tracing, vaccinations and direct services to individuals and families affected by the coronavirus.  The Center particularly is aimed at investigating and tracing COVID cases within the Municipality and it includes an outreach and community education component.  Some of the main objectives entail: 

•	Increase public awareness on COVID-19 preventive measures, to reduce the virus transmission, through educational campaigns and educational and promotional activities.
•	Develop and coordinate collaborative agreements related to vaccination and service delivery to manage the identified needs of the population resulting from research and screening efforts.
•	Investigate cases from Bio Portal information and self-referred cases.
•	Follow up contacts and cases until isolation or quarantine is complete. 
•	Identify active outbreaks and report in a timely manner to the concerned areas so that they can be addressed and prevent the spread of the condition. 

The main services provided by the program include an investigation and case tracking system, educational intervention and other support services for families in isolation or quarantine, referrals for COVID-19 testing and vaccination and health education, among others.",843968.66,843968.66,843968.66,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"-, Bio, COVID, COVID-19, Center, Contact, Develop, Follow, Identify, Increase, Investigate, Municipality, Ponce, Portal, Tracing, active, activities, addressed, affected, agreements, aimed, areas, awareness, campaigns, case, cases, collaboration, collaborative, community, complete, component, concerned, condition, consists, contact, contacts, coordinate, core, coronavirus, delivery, design, different, direct, disciplinary, education, educational, efforts, elements, entail, families, health, identified, include, includes, individuals, information, integrated, intervention, investigating, investigation, isolation, main, manage, manner, measures, mitigate, multi, needs, non, objectives, operated, organizations, outbreaks, outreach, population, prevent, preventive, professionals, profit, program, promotional, provided, public, quarantine, reduce, referrals, referred, related, report, research, resulting, screening, self, service, services, spread, support, system, team, testing, timely, tracing, tracking, transmission, vaccination, vaccinations, virus, •",yes
436,436,TPN-078616,RCP-036662,"Fajardo Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Municipality if Fajardo COVID19 Contact Tracing ARPA,1-Public Health,1.3-COVID-19 Contact Tracing,"The Municipality of Fajardo implemented a COVID-19 contact tracing expenses program with the Fiscal Recovery Funds to cover COVID-19 monitoring related expenses that will enhance its public health surveillance capacity response to the pandemic. The program expenses costs consist of acquisition of equipment such computer and data systems, vehicle to provide monitoring throughout the city including remote areas with vulnerable population, and other administrative expenses related to monitoring services. The main goal of the program is to support efforts to monitor properly the spread of the disease and prevent the spread of COVID-19, and that these services are accessible consistently for the population",28343.97,28343.97,28343.97,,,,,,,,Yes,Acquisition of equipment for COVID-19 prevention and treatment,28343.97,1 Imp General Public,,,,,2024-06-30,,,,,"COVID-19, Fajardo, Fiscal, Funds, Municipality, Recovery, accessible, acquisition, administrative, areas, capacity, city, computer, consist, contact, costs, cover, data, disease, efforts, enhance, equipment, expenses, goal, health, implemented, including, main, monitor, monitoring, pandemic, population, prevent, program, provide, public, related, remote, response, services, spread, support, surveillance, systems, tracing, vehicle, vulnerable",yes
437,437,TPN-099993,RCP-035994,State of Illinois,Illinois,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Cancelled,COVID19 Contract Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"This project covers COVID-19 contact tracing for all staff, individuals in custody and contractors that report to work daily in our facilities.  As positive cases occur, they are reported via phone call, tracked by Agency, facility and community.  This information is available for reporting to outside Agencies as needed.  Contact tracing also provides direction for quarantine and / or isolation for those individuals reporting positive cases.",0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"Agencies, Agency, COVID-19, Contact, available, cases, community, contact, contractors, covers, custody, direction, facilities, facility, individuals, information, isolation, needed, occur, outside, phone, positive, project, provides, quarantine, report, reported, reporting, staff, tracing, tracked, work",yes
438,438,TPN-055211,RCP-053283,"City And County Of Honolulu, Hawaii",Hawaii,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Contact Tracers,1-Public Health,1.3-COVID-19 Contact Tracing,Internal City contact tracing for staff only.  The City is seeing an increase in positive cases within its employees.  Internal contact tracers helps to stop the spread to other employees.,132201.43,132201.43,132201.43,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"City, Internal, cases, contact, employees, helps, increase, positive, seeing, spread, staff, stop, tracers, tracing",yes
439,439,TPN-108730,RCP-036654,"Roanoke City, Virginia",Virginia,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Employee Health Clinic- Marathon Health,1-Public Health,1.3-COVID-19 Contact Tracing,Fund overtime wages for the Employee Health Clinic as they dealt with COVID illnesses and contact tracing.,29250.0,29250.0,29250.0,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID, Clinic, Employee, Fund, Health, contact, dealt, illnesses, overtime, tracing, wages",yes
440,440,TPN-093088,RCP-038331,"Culpeper County, Virginia",Virginia,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Sprayers,1-Public Health,1.3-COVID-19 Contact Tracing,purchased 2 electrostatic sprayers for disinfecting large spaces,,698.0,698.0,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"disinfecting, electrostatic, large, purchased, spaces, sprayers",no
441,441,TPN-013893,RCP-036668,"Juana Diaz Municipio City, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,CONTACT TRACING SYSTEM,1-Public Health,1.3-COVID-19 Contact Tracing,"Through this Project, the Municipality of Juana Díaz will cover eligible costs related to contact tracing within the Municipality for ensuring the continuity of COVID-19 preventive and protective measures.",,77572.71,70432.52,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID-19, Díaz, Juana, Municipality, Project, contact, continuity, costs, cover, eligible, ensuring, measures, preventive, protective, related, tracing",yes
442,442,TPN-009756,RCP-038102,"Worcester, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,DPH/HHS Software and Technology,1-Public Health,1.3-COVID-19 Contact Tracing,Technology and software improvements for the Department of Health and Human Services and Division of Public Health. These will help the Department/division better conduct its pandemic related work in the community and in remote settings.,78995.0,1220.0,1220.0,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"Department, Division, Health, Human, Public, Services, Technology, community, conduct, division, help, improvements, pandemic, related, remote, settings, software, work",no
443,443,TPN-049220,RCP-036677,"San Sebastian Municipio County, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,MSS-CONTACT TRACING PROGRAM,1-Public Health,1.3-COVID-19 Contact Tracing,MONITORING TEAM FOR COVID 19 CASES. INCLUIDES SALARIES AND RELATED COSTS FOR OPERATION OF PROGRAM,386677.69,386677.69,386677.69,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"CASES, COSTS, COVID, INCLUIDES, MONITORING, OPERATION, PROGRAM, RELATED, SALARIES, TEAM",no
444,444,TPN-144588,RCP-036168,"Fresno County, California",California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,CONTACT TRACING (ISD) EC 1.3 23Q3,1-Public Health,1.3-COVID-19 Contact Tracing,Cost of COVID 19 contact tracing and outbreak mitigation and costs include salaries and benefits of County employees.,20602.75,20602.75,20602.75,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID, Cost, County, benefits, contact, costs, employees, include, mitigation, outbreak, salaries, tracing",yes
445,445,TPN-095789,RCP-036168,"Fresno County, California",California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,1.3 22Q4 - ONGOING COVID-19 MITIGATION,1-Public Health,1.3-COVID-19 Contact Tracing,Cost of COVID 19 contact tracing and outbreak mitigation and costs include salaries and benefits of County employees.,26814.14,26814.14,26814.14,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID, Cost, County, benefits, contact, costs, employees, include, mitigation, outbreak, salaries, tracing",yes
446,446,TPN-058699,RCP-036675,"Rio Grande Municipio City, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,COVID CONTACT TRACING CENTER,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID Contact Tracing Center (the “Center) is a program design to mitigate and prevent the
spread of the coronavirus in the Municipality of Río Grande. The program is operated in collaboration
with non-profit organizations and includes a multi-disciplinary team integrated by different
professionals. The program consists of three core elements: contact tracing, vaccinations and direct
services to individuals and families affected by the coronavirus. The Center particularly is aimed at
investigating and tracing COVID cases within the Municipality and it includes an outreach and
community education component. Some of the main objectives entail:
 Increase public awareness on COVID-19 preventive measures, to reduce the virus
transmission, through educational campaigns and educational and promotional activities.
 Develop and coordinate collaborative agreements related to vaccination and service delivery
to manage the identified needs of the population resulting from research and screening
efforts.
 Investigate cases from Bio Portal information and self-referred cases.
 Follow up contacts and cases until isolation or quarantine is complete.
 Identify active outbreaks and report in a timely manner to the concerned areas so that they
can be addressed and prevent the spread of the condition.",270168.0,270168.0,270168.0,,,,,,,,Yes,Other (please specify),10000.0,18 Dis Imp HHs residing in the U.S. territories or receiving services,20 Dis Imp Other HHs or populations that experienced a disproportionate,1 Imp General Public,,,2024-06-30,,,,,"-, Bio, COVID, COVID-19, Center, Contact, Develop, Follow, Grande, Identify, Increase, Investigate, Municipality, Portal, Río, Tracing, active, activities, addressed, affected, agreements, aimed, areas, awareness, campaigns, cases, collaboration, collaborative, community, complete, component, concerned, condition, consists, contact, contacts, coordinate, core, coronavirus, delivery, design, different, direct, disciplinary, education, educational, efforts, elements, entail, families, identified, includes, individuals, information, integrated, investigating, isolation, main, manage, manner, measures, mitigate, multi, needs, non, objectives, operated, organizations, outbreaks, outreach, population, prevent, preventive, professionals, profit, program, promotional, public, quarantine, reduce, referred, related, report, research, resulting, screening, self, service, services, spread, team, timely, tracing, transmission, vaccination, vaccinations, virus, ",yes
447,447,TPN-002707,RCP-037932,"Fitchburg, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,"COVID Test, Trace, and Vaccinate",1-Public Health,1.3-COVID-19 Contact Tracing,"As part of the city’s ongoing efforts to deal with the COVID-19 pandemic, this project will expand on current public health activities, including a focus on increasing COVID-19 testing, increasing COVID-19 vaccination rates by increasing access to the vaccine, and increasing staff for contact tracing in order to provide sufficient tracking, surveillance, and compliance with isolation and quarantine orders that assist with the prevention of COVID-19 spread.
The Commonwealth ended contact tracing on November 30, 2021, and the city has had to pick up that work. Most recently, testing has become difficult for residents to obtain, so the city is acquiring quantities of at-home tests for distribution within the community and has established a regional drive-thru test site at the Fitchburg Airport in cooperation with the City of Leominster and Montachusett Public Health Network. 
This project will benefit the health of city residents in particular and of the greater area in general.
'",187241.74,187241.74,187241.74,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"Airport, COVID-19, City, Commonwealth, Fitchburg, Health, Leominster, Montachusett, Network, November, Public, access, acquiring, activities, area, assist, benefit, city, community, compliance, contact, cooperation, current, deal, difficult, distribution, drive, efforts, ended, established, expand, focus, general, greater, health, home, including, increasing, isolation, obtain, ongoing, order, orders, pandemic, particular, pick, prevention, project, provide, public, quantities, quarantine, rates, regional, residents, site, spread, staff, sufficient, surveillance, test, testing, tests, tracing, tracking, vaccination, vaccine, work",yes
448,448,TPN-047909,RCP-036679,"Trujillo Alto Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,COVID Contact Tracing Center,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID Contact Tracing Center (the “Center) is a program design to mitigate and prevent the spread of the coronavirus in the Municipality of Trujillo Alto.  The program is operated in collaboration with the Puerto Rico Department of Health, non-profit organizations and includes a multi-disciplinary team integrated by different professionals.  The program consists of three core elements: contact tracing, vaccinations and direct services to individuals and families affected by the coronavirus.  The Contact Tracing Project particularly is aimed at investigating and tracing COVID cases within the Municipality, and it includes an outreach and community education component.  Some of the main objectives entail: 
•	Increase public awareness on COVID-19 preventive measures, to reduce the virus transmission, through educational campaigns and educational and promotional activities.
•	Develop and coordinate collaborative agreements related to vaccination and service delivery to manage the identified needs of the population resulting from research and screening efforts.
•	Investigate cases from Bio Portal information and self-referred cases.
•	Follow up contacts and cases until isolation or quarantine is complete. 
•	Identify active outbreaks and report in a timely manner to the concerned areas so that they can be addressed and prevent the spread of the condition. 
The Center also serves as a liaison to access and refer to other municipal units. Services under this initiative will be provided by an epidemiologist, physician, case specialists, health monitor and health educator
The main services provided by the program include an investigation and case tracking system, educational intervention and psychological and nutrition services, support for families in isolation or quarantine, referrals for Tele-Medicine, referrals for COVID-19 testing and vaccination, health education, spiritual counseling, motivational services, and life coaching.  In addition, the Municipality will continue providing COVID vaccinations to the communities and home vaccinations for the bedridden in collaboration with the traditional vaccination centers.",140398.0,139333.0,129033.97,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,,,,2024-06-30,,,,,"-, Alto, Bio, COVID, COVID-19, Center, Contact, Department, Develop, Follow, Health, Identify, Increase, Investigate, Medicine, Municipality, Portal, Project, Puerto, Rico, Services, Tele, Tracing, Trujillo, access, active, activities, addition, addressed, affected, agreements, aimed, areas, awareness, bedridden, campaigns, case, cases, centers, coaching, collaboration, collaborative, communities, community, complete, component, concerned, condition, consists, contact, contacts, continue, coordinate, core, coronavirus, counseling, delivery, design, different, direct, disciplinary, education, educational, educator, efforts, elements, entail, epidemiologist, families, health, home, identified, include, includes, individuals, information, initiative, integrated, intervention, investigating, investigation, isolation, liaison, life, main, manage, manner, measures, mitigate, monitor, motivational, multi, municipal, needs, non, nutrition, objectives, operated, organizations, outbreaks, outreach, physician, population, prevent, preventive, professionals, profit, program, promotional, provided, providing, psychological, public, quarantine, reduce, refer, referrals, referred, related, report, research, resulting, screening, self, serves, service, services, specialists, spiritual, spread, support, system, team, testing, timely, tracing, tracking, traditional, transmission, units, vaccination, vaccinations, virus, •",yes
449,449,TPN-023944,RCP-037761,"Alhambra, California",California,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"The City has designated staff in the HR department who perform contact tracing of staff who were exposed to Covid or has been diagnosed with COVID-19.  The contact tracing process prevents further transmission of disease by separating people who have (or may have) an infectious disease from people who do not.  Contract tracing involves subsequent identification, monitoring, and support of the contacts who have been exposed to, and possibly infected with, the virus.  Prompt identification, quarantine, and monitoring prevents an outbreak and prevents further spread of the virus in the workforce.",45596.49,45596.49,45596.49,,,,,,,,No,,,1 Imp General Public,,,,,2024-06-30,,,,,"COVID-19, City, Contract, Covid, HR, Prompt, contact, contacts, department, designated, diagnosed, disease, exposed, identification, infected, infectious, involves, monitoring, outbreak, people, perform, prevents, process, quarantine, separating, spread, staff, subsequent, support, tracing, transmission, virus, workforce",yes
450,450,TPN-127261,RCP-036144,"Oklahoma County, Oklahoma",Oklahoma,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Sheriff Camera System,1-Public Health,1.3-COVID-19 Contact Tracing,"This project is an upgrade of the current camera system and facilities access control at the County Courthouse and Courthouse Annex, to a version that includes COVID-19 response analytics, contact tracing algorithms, and integrated access control for tracing the movements of individuals with badge access.",640638.23,640638.23,640638.23,,,,,,,,Yes,Technology infrastructure to adapt government operations,348070.04,1 Imp General Public,,,,,2024-06-30,,,,,"Annex, COVID-19, County, Courthouse, access, algorithms, analytics, badge, camera, contact, control, current, facilities, includes, individuals, integrated, movements, project, response, system, tracing, upgrade, version",yes
451,451,TPN-172222,RCP-036144,"Oklahoma County, Oklahoma",Oklahoma,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,PBA Contact Tracing Camera System,1-Public Health,1.3-COVID-19 Contact Tracing,"This project is an upgrade of the current camera system and facilities access control within the public building authority facilities, to a version that includes COVID-19 response analytics, contact tracing algorithms, and integrated access control for tracing the movements of individuals with badge access. These functions will be especially useful in performing contact tracing to better protect against the spread of COVID-19 and other viruses. The new system can follow individuals throughout the facilities and will mark other individuals who encounter them and follow their movements through the facilities as well. Currently, no such capability exists for contact tracing in any of the facilities. This change benefits the entire county - those who office in the facilities as well as the general public.",521601.75,521601.75,8420.0,,,,,,,,Yes,Technology and tools,500678.01,1 Imp General Public,,,,,2024-06-30,,,,,"COVID-19, access, algorithms, analytics, authority, badge, benefits, building, camera, capability, change, contact, control, county, current, encounter, entire, exists, facilities, follow, functions, general, includes, individuals, integrated, mark, movements, new, office, performing, project, protect, public, response, spread, system, tracing, upgrade, useful, version, viruses",yes
452,452,TPN-162641,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Researcher(4)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,"COVID -19 testing, tracing, medical consultation and orientation to the public in the Municipality of Mayaguez.",33600.0,33600.0,33600.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,20 Dis Imp Other HHs or populations that experienced a disproportionate,,,2024-06-30,,,,,"-19, COVID, Mayaguez, Municipality, consultation, medical, orientation, public, testing, tracing",yes
453,453,TPN-176529,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Researcher(3)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Researcher/Educator Services in the COVID 19 Tracking Program,33600.0,33600.0,33600.0,,,,,,,,No,,,1 Imp General Public,14 Dis Imp Low income HHs and populations,5 Imp HHs that qualify for certain federal programs,,,2024-06-30,,,,,"COVID, Educator, Program, Researcher, Services, Tracking",no
454,454,TPN-176526,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Researcher(2)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,9600.0,9600.0,1050.0,,,,,,,,No,,,14 Dis Imp Low income HHs and populations,2 Imp Low or moderate income HHs or populations,1 Imp General Public,,,2024-06-30,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
455,455,TPN-176521,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Researcher(6)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,14080.0,14080.0,11440.0,,,,,,,,No,,,1 Imp General Public,14 Dis Imp Low income HHs and populations,5 Imp HHs that qualify for certain federal programs,,,2024-06-30,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
456,456,TPN-176519,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Researcher(5)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,16000.0,16000.0,12800.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,5 Imp HHs that qualify for certain federal programs,,,2024-06-30,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
457,457,TPN-176497,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Researcher(1)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,16000.0,16000.0,13100.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,5 Imp HHs that qualify for certain federal programs,,,2024-06-30,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
